culture,respondent_id,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
CN,CN-0000,5,2,2,2,5,5,1,5
CN,CN-0001,1,2,1,5,2,2,2,1
CN,CN-0002,1,2,2,2,2,5,5,2
CN,CN-0003,2,2,2,1,2,2,2,2
CN,CN-0004,5,5,2,2,2,2,2,2
CN,CN-0005,5,1,2,1,5,5,1,5
CN,CN-0006,1,2,1,2,5,1,1,2
CN,CN-0007,1,1,2,1,2,1,5,2
CN,CN-0008,1,2,5,2,5,2,2,2
CN,CN-0009,5,5,2,4,2,2,5,2
CN,CN-0010,2,2,5,1,2,5,5,1
CN,CN-0011,5,5,5,1,5,5,5,2
CN,CN-0012,1,5,5,1,2,2,5,1
CN,CN-0013,2,2,1,2,1,5,2,5
CN,CN-0014,1,5,1,2,2,5,2,1
CN,CN-0015,1,5,1,1,1,2,2,5
CN,CN-0016,2,1,2,5,2,5,2,2
CN,CN-0017,2,5,1,2,5,1,5,2
CN,CN-0018,5,1,2,1,2,1,2,5
CN,CN-0019,1,5,1,2,2,2,5,5
CN,CN-0020,2,1,5,5,2,2,5,2
CN,CN-0021,1,5,5,2,5,5,3,5
CN,CN-0022,1,1,2,2,1,2,5,2
CN,CN-0023,2,1,2,2,1,5,2,1
CN,CN-0024,5,5,2,2,1,2,1,2
CN,CN-0025,2,5,1,2,2,1,2,1
CN,CN-0026,2,1,2,5,2,5,5,5
CN,CN-0027,1,1,1,5,2,2,1,2
CN,CN-0028,2,2,2,2,5,1,2,1
CN,CN-0029,5,2,5,1,5,5,2,5
DE,DE-0000,2,4,1,3,3,3,2,3
DE,DE-0001,1,2,2,3,1,2,1,3
DE,DE-0002,3,1,3,3,5,3,2,5
DE,DE-0003,5,3,3,4,2,4,3,2
DE,DE-0004,3,3,1,2,1,2,2,2
DE,DE-0005,3,1,5,3,3,4,3,1
DE,DE-0006,3,3,3,3,3,5,2,1
DE,DE-0007,2,3,2,3,1,3,2,1
DE,DE-0008,4,3,3,4,1,3,2,1
DE,DE-0009,3,2,2,5,1,3,1,1
DE,DE-0010,4,3,3,1,3,1,3,3
DE,DE-0011,3,3,1,1,3,2,5,4
DE,DE-0012,1,3,3,1,2,3,4,2
DE,DE-0013,1,3,3,2,1,1,1,3
DE,DE-0014,1,5,1,2,2,1,3,3
DE,DE-0015,3,1,2,3,2,1,1,5
DE,DE-0016,1,3,3,2,2,3,3,3
DE,DE-0017,3,3,4,3,1,3,1,2
DE,DE-0018,2,1,5,1,1,2,5,1
DE,DE-0019,3,1,3,5,3,5,3,5
DE,DE-0020,3,3,4,3,2,3,1,3
DE,DE-0021,1,3,3,3,3,1,3,2
DE,DE-0022,3,3,3,3,3,2,2,1
DE,DE-0023,3,3,1,5,3,3,3,3
DE,DE-0024,2,1,1,3,3,3,2,3
DE,DE-0025,3,5,2,1,4,4,1,1
DE,DE-0026,3,3,3,1,1,3,3,1
DE,DE-0027,1,3,1,1,3,3,2,2
DE,DE-0028,1,2,3,3,2,3,3,3
DE,DE-0029,2,3,3,2,2,3,3,3
UK,UK-0000,3,1,5,5,5,4,4,5
UK,UK-0001,4,1,5,3,5,3,1,2
UK,UK-0002,4,1,1,3,5,4,2,4
UK,UK-0003,3,5,5,5,2,1,1,3
UK,UK-0004,4,1,5,5,2,4,4,4
UK,UK-0005,1,2,4,4,5,3,3,2
UK,UK-0006,1,4,2,5,2,4,4,4
UK,UK-0007,5,1,1,1,1,4,1,5
UK,UK-0008,1,3,3,1,3,1,2,5
UK,UK-0009,3,3,4,4,4,1,4,4
UK,UK-0010,5,4,1,1,2,5,3,5
UK,UK-0011,3,5,3,4,2,5,2,1
UK,UK-0012,4,4,4,4,4,1,4,1
UK,UK-0013,1,3,3,1,3,4,3,4
UK,UK-0014,1,1,5,4,3,1,4,5
UK,UK-0015,1,4,3,5,5,2,5,1
UK,UK-0016,1,1,4,4,3,1,5,1
UK,UK-0017,1,5,3,5,4,5,1,2
UK,UK-0018,3,3,3,5,1,5,5,1
UK,UK-0019,1,2,3,5,1,5,3,1
UK,UK-0020,3,3,1,2,3,5,3,5
UK,UK-0021,1,1,1,4,1,4,5,3
UK,UK-0022,1,4,3,1,1,4,5,5
UK,UK-0023,4,1,1,3,5,4,2,5
UK,UK-0024,3,5,3,5,1,4,3,3
UK,UK-0025,1,5,1,4,4,5,3,5
UK,UK-0026,4,5,4,5,5,5,1,1
UK,UK-0027,4,2,3,1,5,5,1,4
UK,UK-0028,3,5,3,4,4,5,3,5
UK,UK-0029,3,1,5,2,4,4,1,1
MX,MX-0000,3,2,2,3,4,2,2,5
MX,MX-0001,4,2,4,2,4,3,2,2
MX,MX-0002,2,2,3,2,2,3,1,2
MX,MX-0003,2,2,1,5,2,2,2,5
MX,MX-0004,2,2,2,5,2,2,3,3
MX,MX-0005,2,2,2,2,5,4,3,2
MX,MX-0006,3,3,2,2,2,2,3,2
MX,MX-0007,2,5,1,2,2,2,4,2
MX,MX-0008,4,2,2,2,4,3,2,2
MX,MX-0009,2,4,2,4,4,2,1,2
MX,MX-0010,3,1,2,2,3,2,2,2
MX,MX-0011,2,1,4,4,3,2,4,1
MX,MX-0012,3,3,2,4,1,3,2,3
MX,MX-0013,2,2,3,2,2,4,4,2
MX,MX-0014,3,2,4,4,3,2,1,3
MX,MX-0015,2,4,4,2,2,3,3,3
MX,MX-0016,4,2,2,2,4,2,4,2
MX,MX-0017,2,2,2,2,4,2,2,2
MX,MX-0018,3,5,2,4,2,3,3,2
MX,MX-0019,2,2,2,5,3,4,2,2
MX,MX-0020,2,2,2,2,1,2,1,2
MX,MX-0021,3,2,2,4,4,2,4,2
MX,MX-0022,3,2,2,3,1,2,2,3
MX,MX-0023,3,3,3,2,2,4,2,2
MX,MX-0024,2,3,2,3,2,3,2,2
MX,MX-0025,3,2,1,5,2,3,2,4
MX,MX-0026,2,2,3,2,4,3,5,3
MX,MX-0027,2,2,3,3,2,3,5,3
MX,MX-0028,2,4,4,4,2,2,4,2
MX,MX-0029,2,3,4,3,2,2,1,2
JP,JP-0000,5,3,3,2,3,2,1,4
JP,JP-0001,2,2,5,2,2,5,4,5
JP,JP-0002,4,2,5,4,3,2,2,4
JP,JP-0003,4,4,4,5,4,3,3,3
JP,JP-0004,4,5,4,1,2,2,3,4
JP,JP-0005,4,4,4,2,3,4,4,3
JP,JP-0006,5,4,5,3,5,2,5,1
JP,JP-0007,3,5,3,5,5,5,3,5
JP,JP-0008,4,2,5,5,2,5,4,5
JP,JP-0009,3,2,5,4,2,3,5,4
JP,JP-0010,3,3,5,4,5,3,5,3
JP,JP-0011,5,1,2,3,5,3,4,2
JP,JP-0012,4,2,2,5,3,2,4,2
JP,JP-0013,2,5,3,5,5,2,2,2
JP,JP-0014,4,3,5,4,4,3,5,4
JP,JP-0015,4,5,3,2,5,3,4,5
JP,JP-0016,4,5,1,4,2,5,5,1
JP,JP-0017,2,5,4,5,5,4,4,1
JP,JP-0018,5,3,2,4,3,4,1,2
JP,JP-0019,4,4,2,4,5,3,4,5
JP,JP-0020,4,2,5,3,5,4,5,5
JP,JP-0021,5,5,3,5,2,3,4,5
JP,JP-0022,2,3,3,5,1,5,3,4
JP,JP-0023,5,2,4,2,4,5,3,5
JP,JP-0024,2,4,2,3,3,4,3,4
JP,JP-0025,4,5,3,2,3,4,5,4
JP,JP-0026,4,1,4,3,3,5,2,2
JP,JP-0027,3,4,3,4,4,4,5,3
JP,JP-0028,4,4,2,3,4,5,5,4
JP,JP-0029,2,3,2,4,4,4,4,4
